LoanID,ClienteID,Fecha,SaldoContable,CentroCosto
L00001,C00861,2025-11-01,86575,Barcelona
L00002,C03773,2025-11-01,227505,Sevilla
L00003,C03093,2025-11-01,77810,Sevilla
L00004,C00467,2025-11-01,239151,Barcelona
L00005,C04427,2025-11-01,248688,Madrid
L00006,C03445,2025-11-01,262667,Sevilla
L00007,C03172,2025-11-01,64951,Sevilla
L00008,C02920,2025-11-01,220480,Barcelona
L00009,C00131,2025-11-01,50921,Valencia
L00010,C01686,2025-11-01,274326,Barcelona
L00011,C00770,2025-11-01,114599,Madrid
L00012,C02392,2025-11-01,108244,Barcelona
L00013,C02434,2025-11-01,150895,Valencia
L00014,C01185,2025-11-01,275599,Sevilla
L00015,C04556,2025-11-01,114354,Sevilla
L00016,C03386,2025-11-01,125282,Madrid
L00017,C04118,2025-11-01,190267,Barcelona
L00018,C04844,2025-11-01,43601,Madrid
L00019,C02905,2025-11-01,235481,Valencia
L00020,C00475,2025-11-01,108965,Madrid
L00021,C01083,2025-11-01,123621,Valencia
L00022,C02559,2025-11-01,181074,Valencia
L00023,C02048,2025-11-01,39308,Sevilla
L00024,C02748,2025-11-01,167007,Madrid
L00025,C00976,2025-11-01,252195,Madrid
L00026,C01807,2025-11-01,104685,Madrid
L00027,C00190,2025-11-01,174522,Valencia
L00028,C02735,2025-11-01,231992,Madrid
L00029,C03006,2025-11-01,41169,Madrid
L00030,C04659,2025-11-01,33516,Bilbao
L00031,C01900,2025-11-01,121233,Barcelona
L00032,C01268,2025-11-01,203052,Barcelona
L00033,C01529,2025-11-01,18011,Madrid
L00034,C03203,2025-11-01,53327,Valencia
L00035,C03557,2025-11-01,144183,Barcelona
L00036,C03891,2025-11-01,104158,Barcelona
L00037,C00647,2025-11-01,56487,Barcelona
L00038,C02889,2025-11-01,220082,Bilbao
L00039,C02436,2025-11-01,52807,Madrid
L00040,C00601,2025-11-01,222454,Valencia
L00041,C02364,2025-11-01,7169,Barcelona
L00042,C02062,2025-11-01,203358,Barcelona
L00043,C00242,2025-11-01,180640,Madrid
L00044,C02042,2025-11-01,115748,Valencia
L00045,C02825,2025-11-01,238982,Madrid
L00046,C02613,2025-11-01,136512,Barcelona
L00047,C01364,2025-11-01,87968,Barcelona
L00048,C01479,2025-11-01,264890,Barcelona
L00049,C02557,2025-11-01,123545,Barcelona
L00050,C00776,2025-11-01,57757,Madrid
L00051,C04015,2025-11-01,280911,Barcelona
L00052,C00035,2025-11-01,300593,Madrid
L00053,C03153,2025-11-01,267497,Madrid
L00054,C01956,2025-11-01,154715,Sevilla
L00055,C01586,2025-11-01,62220,Sevilla
L00056,C03944,2025-11-01,127507,Valencia
L00057,C03074,2025-11-01,275212,Valencia
L00058,C01022,2025-11-01,25234,Sevilla
L00059,C03462,2025-11-01,282655,Madrid
L00060,C02614,2025-11-01,180053,Barcelona
L00061,C03844,2025-11-01,210709,Madrid
L00062,C01501,2025-11-01,188333,Sevilla
L00063,C04799,2025-11-01,272851,Barcelona
L00064,C00162,2025-11-01,246598,Sevilla
L00065,C04298,2025-11-01,208228,Sevilla
L00066,C01982,2025-11-01,227331,Barcelona
L00067,C00996,2025-11-01,13700,Barcelona
L00068,C04912,2025-11-01,273593,Madrid
L00069,C03343,2025-11-01,188471,Barcelona
L00070,C04552,2025-11-01,14669,Valencia
L00071,C03799,2025-11-01,264000,Madrid
L00072,C01276,2025-11-01,40744,Bilbao
L00073,C01017,2025-11-01,172602,Bilbao
L00074,C00338,2025-11-01,164063,Madrid
L00075,C00879,2025-11-01,236236,Valencia
L00076,C01077,2025-11-01,297738,Madrid
L00077,C04888,2025-11-01,288660,Valencia
L00078,C03994,2025-11-01,33335,Valencia
L00079,C04860,2025-11-01,244588,Sevilla
L00080,C00380,2025-11-01,95070,Barcelona
L00081,C00493,2025-11-01,188224,Sevilla
L00082,C02063,2025-11-01,212888,Sevilla
L00083,C03885,2025-11-01,206779,Valencia
L00084,C00065,2025-11-01,82856,Barcelona
L00085,C02569,2025-11-01,70045,Valencia
L00086,C02028,2025-11-01,79605,Valencia
L00087,C02696,2025-11-01,52231,Bilbao
L00088,C01496,2025-11-01,81997,Madrid
L00089,C00392,2025-11-01,206221,Barcelona
L00090,C04515,2025-11-01,251560,Sevilla
L00091,C04475,2025-11-01,190039,Barcelona
L00092,C03562,2025-11-01,115227,Valencia
L00093,C02279,2025-11-01,37600,Madrid
L00094,C03100,2025-11-01,275808,Valencia
L00095,C00201,2025-11-01,217274,Valencia
L00096,C04876,2025-11-01,89608,Valencia
L00097,C03105,2025-11-01,169832,Sevilla
L00098,C04599,2025-11-01,296303,Sevilla
L00099,C02455,2025-11-01,286544,Sevilla
L00100,C03646,2025-11-01,288941,Madrid
L00101,C00805,2025-11-01,61111,Valencia
L00102,C02732,2025-11-01,160624,Barcelona
L00103,C02774,2025-11-01,98575,Barcelona
L00104,C01571,2025-11-01,140507,Sevilla
L00105,C02691,2025-11-01,168043,Valencia
L00106,C03841,2025-11-01,107921,Barcelona
L00107,C01029,2025-11-01,145359,Sevilla
L00108,C00503,2025-11-01,33766,Valencia
L00109,C04494,2025-11-01,261682,Sevilla
L00110,C00871,2025-11-01,84781,Madrid
L00111,C04489,2025-11-01,57026,Sevilla
L00112,C00207,2025-11-01,84146,Madrid
L00113,C01485,2025-11-01,229028,Madrid
L00114,C00864,2025-11-01,178406,Madrid
L00115,C02791,2025-11-01,176642,Madrid
L00116,C00564,2025-11-01,199590,Valencia
L00117,C04192,2025-11-01,294062,Valencia
L00118,C01758,2025-11-01,277921,Madrid
L00119,C01679,2025-11-01,88061,Madrid
L00120,C03243,2025-11-01,106454,Madrid
L00121,C04637,2025-11-01,170639,Barcelona
L00122,C01060,2025-11-01,39254,Barcelona
L00123,C01723,2025-11-01,245736,Madrid
L00124,C03315,2025-11-01,114798,Sevilla
L00125,C03158,2025-11-01,31196,Sevilla
L00126,C02626,2025-11-01,157456,Madrid
L00127,C02730,2025-11-01,214320,Madrid
L00128,C01598,2025-11-01,290738,Valencia
