LoanID,ClienteID,FechaDesembolso,ImporteAprobado,RiesgoAsignado
L00001,C00861,2025-06-09,90066,A
L00002,C03773,2025-11-03,224570,D
L00003,C03093,2024-03-11,80547,A
L00004,C00467,2025-10-25,237265,C
L00005,C04427,2025-08-09,251404,A
L00006,C03445,2025-01-10,264708,B
L00007,C03172,2025-12-27,60103,A
L00008,C02920,2025-01-02,222214,B
L00009,C00131,2024-02-20,46456,B
L00010,C01686,2024-05-22,275808,B
L00011,C00770,2025-02-22,113384,A
L00012,C02392,2025-07-01,111229,B
L00013,C02434,2025-05-14,146786,A
L00014,C01185,2024-06-15,271456,A
L00015,C04556,2024-09-16,111691,B
L00016,C03386,2024-07-10,121936,A
L00017,C04118,2024-07-20,186775,D
L00018,C04844,2024-07-03,40215,C
L00019,C02905,2024-06-06,232917,C
L00020,C00475,2025-09-13,107613,A
L00021,C01083,2024-04-08,127184,A
L00022,C02559,2024-08-28,177150,D
L00023,C02048,2025-05-05,41264,A
L00024,C02748,2024-07-20,170556,C
L00025,C00976,2025-09-25,250108,A
L00026,C01807,2025-05-23,104976,A
L00027,C00190,2025-09-20,178234,B
L00028,C02735,2024-04-05,233745,D
L00029,C03006,2025-05-04,44794,A
L00030,C04659,2025-08-01,34237,A
L00031,C01900,2024-08-05,118742,C
L00032,C01268,2025-06-10,204079,A
L00033,C01529,2024-09-29,18417,A
L00034,C03203,2024-08-06,57328,A
L00035,C03557,2025-10-20,142845,B
L00036,C03891,2024-11-27,107116,C
L00037,C00647,2025-03-28,60443,D
L00038,C02889,2024-05-31,220189,A
L00039,C02436,2024-12-12,52119,A
L00040,C00601,2025-02-17,218184,B
L00041,C02364,2025-06-10,7770,A
L00042,C02062,2025-03-06,198609,A
L00043,C00242,2025-01-13,180380,B
L00044,C02042,2025-03-03,118612,A
L00045,C02825,2024-03-24,241055,B
L00046,C02613,2024-07-10,139678,D
L00047,C01364,2024-02-10,85214,C
L00048,C01479,2024-11-04,265490,A
L00049,C02557,2025-01-12,124726,B
L00050,C00776,2024-05-15,55373,B
L00051,C04015,2024-04-15,281532,C
L00052,C00035,2025-06-02,298064,D
L00053,C03153,2025-06-25,264962,C
L00054,C01956,2024-05-05,151083,B
L00055,C01586,2024-12-22,63266,A
L00056,C03944,2025-02-03,122847,D
L00057,C03074,2024-03-19,278250,C
L00058,C01022,2025-01-23,26786,C
L00059,C03462,2025-08-01,284088,A
L00060,C02614,2025-06-18,177236,B
L00061,C03844,2025-12-01,212815,A
L00062,C01501,2024-03-14,190323,D
L00063,C04799,2024-01-05,273988,D
L00064,C00162,2025-04-07,244273,A
L00065,C04298,2024-03-22,212484,B
L00066,C01982,2025-06-20,224939,A
L00067,C00996,2025-02-08,18144,A
L00068,C04912,2025-05-28,274793,A
L00069,C03343,2024-10-04,188746,A
L00070,C04552,2024-08-11,17818,A
L00071,C03799,2025-08-06,266644,A
L00072,C01276,2024-03-08,41880,C
L00073,C01017,2024-11-15,173405,A
L00074,C00338,2025-08-28,162788,C
L00075,C00879,2024-01-19,239353,B
L00076,C01077,2025-10-01,298441,C
L00077,C04888,2024-12-08,286206,D
L00078,C03994,2025-08-16,34492,A
L00079,C04860,2024-12-08,243151,A
L00080,C00380,2024-04-06,91861,A
L00081,C00493,2024-02-21,192553,B
L00082,C02063,2024-06-23,211796,A
L00083,C03885,2024-12-03,202449,B
L00084,C00065,2025-11-24,79457,C
L00085,C02569,2024-12-18,74885,B
L00086,C02028,2025-01-25,80191,A
L00087,C02696,2024-04-24,52674,A
L00088,C01496,2024-12-13,85415,A
L00089,C00392,2024-01-01,208265,B
L00090,C04515,2024-03-03,250365,A
L00091,C04475,2024-08-13,186796,D
L00092,C03562,2025-02-26,112889,B
L00093,C02279,2024-01-19,37895,A
L00094,C03100,2024-01-31,279064,A
L00095,C00201,2025-09-24,216000,B
L00096,C04876,2024-01-24,85453,C
L00097,C03105,2024-07-29,166715,D
L00098,C04599,2024-06-09,296371,A
L00099,C02455,2024-09-11,290395,C
L00100,C03646,2025-07-24,291382,A
L00101,C00805,2024-04-23,65044,A
L00102,C02732,2025-05-18,163795,B
L00103,C02774,2025-11-02,99292,D
L00104,C01571,2024-08-07,144585,A
L00105,C02691,2024-12-22,166297,A
L00106,C03841,2024-06-17,111371,B
L00107,C01029,2025-06-07,147377,C
L00108,C00503,2024-08-29,36722,B
L00109,C04494,2025-01-09,260869,A
L00110,C00871,2024-05-18,82684,D
L00111,C04489,2024-04-06,60429,D
L00112,C00207,2024-05-26,83437,C
L00113,C01485,2024-06-30,231707,C
L00114,C00864,2024-02-26,178548,C
L00115,C02791,2024-02-11,180325,A
L00116,C00564,2025-12-11,201035,A
L00117,C04192,2025-06-26,294765,B
L00118,C01758,2025-11-22,281364,D
L00119,C01679,2024-01-02,86757,C
L00120,C03243,2024-10-14,110385,A
L00121,C04637,2024-05-17,175142,A
L00122,C01060,2025-09-08,44150,C
L00123,C01723,2025-05-26,246983,B
L00124,C03315,2025-12-30,114756,A
L00125,C03158,2024-08-09,32161,B
L00126,C02626,2024-11-26,157252,A
L00127,C02730,2025-09-08,217473,D
L00128,C01598,2025-02-07,285969,C
L00129,C03061,2025-05-22,97811,D
L00130,C02694,2024-05-06,156957,A
L00131,C04892,2024-09-21,106351,C
L00132,C03628,2025-12-12,51260,B
L00133,C01364,2024-01-15,182734,A
L00134,C01982,2024-08-13,191171,B
L00135,C01664,2024-04-14,198378,D
L00136,C01530,2025-05-07,291913,B
L00137,C02039,2024-11-14,171286,A
L00138,C03303,2024-08-06,37492,D
L00139,C02238,2024-10-03,225115,A
L00140,C01307,2024-12-06,67473,C
L00141,C04030,2025-03-27,114015,C
L00142,C02676,2025-01-03,93215,C
L00143,C01283,2025-04-18,246495,B
L00144,C00710,2024-07-08,8687,A
L00145,C04745,2025-02-22,185207,D
L00146,C04414,2025-12-10,78400,A
L00147,C03749,2025-05-09,164645,B
L00148,C04780,2024-02-08,271410,A
L00149,C00664,2024-06-10,42713,A
L00150,C01999,2024-04-30,27068,B
L00151,C03446,2025-02-02,95236,C
L00152,C03744,2024-09-18,144438,A
L00153,C01496,2025-12-28,74384,A
L00154,C03305,2025-07-14,35472,B
L00155,C03764,2025-08-26,139528,C
L00156,C01854,2024-05-08,220750,A
L00157,C04660,2025-06-23,148103,B
L00158,C01292,2024-12-21,90675,A
L00159,C03582,2025-10-21,156098,A
L00160,C03458,2025-03-07,45887,B
L00161,C01637,2024-03-05,164849,C
L00162,C03697,2024-08-05,137732,A
L00163,C03000,2025-07-16,294295,B
L00164,C03153,2025-03-02,291757,B
L00165,C00699,2024-03-14,70266,B
L00166,C02161,2025-04-04,214816,B
L00167,C04098,2025-02-28,114020,A
L00168,C04738,2025-12-11,181849,B
L00169,C00855,2024-07-10,35702,C
L00170,C03475,2024-07-07,224450,A
L00171,C01708,2024-01-12,129188,A
L00172,C02778,2024-08-26,82263,B
L00173,C01734,2025-08-15,264751,C
L00174,C04932,2025-03-28,117225,C
L00175,C03511,2025-01-17,66804,B
L00176,C00203,2024-02-17,97340,B
L00177,C03256,2024-11-12,280165,B
L00178,C04219,2024-07-27,122611,A
L00179,C04497,2025-06-30,49001,A
L00180,C00767,2024-04-28,155164,D
L00181,C04390,2025-07-30,111726,D
L00182,C02328,2024-11-10,187974,C
L00183,C02932,2024-02-05,282883,A
L00184,C00198,2025-04-07,18699,B
L00185,C01931,2025-07-07,138876,B
L00186,C03583,2025-08-03,186065,B
L00187,C00609,2025-02-06,43343,C
L00188,C03273,2024-04-16,258270,A
L00189,C01148,2024-02-08,113985,A
L00190,C04283,2025-08-03,191629,C
L00191,C03398,2024-06-28,181946,D
L00192,C02512,2024-01-12,135025,C
L00193,C01795,2024-12-04,123222,C
L00194,C00660,2025-12-16,36586,A
L00195,C02812,2025-07-01,62009,A
L00196,C01370,2024-05-05,5607,A
L00197,C01987,2024-03-03,233237,B
L00198,C00147,2024-03-22,118872,B
L00199,C03220,2024-10-25,231316,B
L00200,C02912,2024-02-03,119235,D
L00201,C01735,2025-08-31,146295,B
L00202,C01844,2024-02-18,290087,A
L00203,C00489,2025-10-19,92051,A
L00204,C02977,2025-09-28,116541,A
L00205,C01960,2025-12-01,249084,B
L00206,C02386,2024-02-26,211120,C
L00207,C02920,2024-04-18,172727,B
L00208,C04737,2025-05-31,235706,C
L00209,C01803,2024-01-24,79158,A
L00210,C04062,2024-08-08,127207,B
L00211,C03370,2024-11-10,107987,B
L00212,C00263,2024-10-20,65461,A
L00213,C00624,2024-01-10,23658,A
L00214,C01017,2025-11-07,127211,B
L00215,C03644,2025-04-25,219255,A
L00216,C04977,2025-12-27,287764,C
L00217,C02050,2025-09-29,165747,A
L00218,C03724,2024-09-23,203273,A
L00219,C04549,2024-03-28,5860,A
L00220,C03109,2025-03-30,120532,B
L00221,C04091,2025-09-17,294762,A
L00222,C02057,2025-06-16,295060,B
L00223,C03171,2024-05-27,213289,A
L00224,C01683,2025-12-29,27878,A
L00225,C02256,2025-03-06,81960,A
L00226,C01155,2024-08-29,43554,A
L00227,C04500,2025-12-02,162868,C
L00228,C03192,2024-03-06,128448,B
L00229,C01697,2025-01-12,229094,A
L00230,C03992,2025-01-22,289728,A
L00231,C04724,2024-07-27,16598,D
L00232,C04683,2025-02-18,209933,C
L00233,C01649,2024-01-16,139802,C
L00234,C01446,2024-10-23,16684,A
L00235,C04200,2024-08-07,170635,A
