LoanID,PD,LGD,EAD,Provision
L00001,0.04494692086145584,0.18714946875805172,97621.24303593294,12870
L00002,0.0062855915022758235,0.1698424950192118,237504.40477936706,7498
L00003,0.06213994779418948,0.2522894494731363,82219.58640752538,10951
L00004,0.04413236911740085,0.32324010373767,218433.5929564924,13134
L00005,0.049643966663188044,0.1497655048489426,265994.9872902712,17358
L00006,0.09494810365130446,0.376312498238801,255991.69126181793,17906
L00007,0.04625042387096781,0.4178948809971844,55936.95612407096,7008
L00008,0.07985621976983415,0.49695724108312844,243921.8195123906,5498
L00009,0.006832343639534511,0.34380349278253974,42656.91975550853,14852
L00010,0.048424856214580224,0.2775368537093601,287848.21758248156,6429
L00011,0.05908278859082673,0.48590779566452025,110050.0390870049,3474
L00012,0.012209878143072818,0.6467177024499337,118822.51259936646,1496
L00013,0.030921098623992536,0.3378947628657611,148174.33655130185,19584
L00014,0.07421977137837599,0.2760621332794353,292655.96222942055,10366
L00015,0.01920675881764092,0.530631686114789,112905.53121031949,13455
L00016,0.013716685869302983,0.6263644743237577,117633.77643751152,6395
L00017,0.030628275519063632,0.6758809681351436,203977.8125491208,5506
L00018,0.08603720639933518,0.23208752074359879,39860.69233396638,11077
L00019,0.0765314064687794,0.28166339746360464,249234.1382295353,19450
L00020,0.0779033562032883,0.6435165094869782,114930.64944908739,8627
L00021,0.03292329473469704,0.2619943419101748,128776.09394328375,11953
L00022,0.01079496732469587,0.30735829825276784,177182.80059562044,2792
L00023,0.0041633220368794644,0.4836766494603555,39574.80208558636,15243
L00024,0.05903364399011224,0.44088245472276044,172632.51495831035,19266
L00025,0.0705262734316859,0.6267110372928372,253841.58371334276,12190
L00026,0.03841122269364558,0.4671091470939298,99523.1880021917,12474
L00027,0.0533573150075214,0.39332786908888173,189097.2840464986,3573
L00028,0.028621383205114922,0.14436847065960373,226147.8000893575,1523
L00029,0.03706591957909281,0.6850158405271505,47070.07598361001,11412
L00030,0.07325179749941742,0.3533896192390129,37578.47812253612,10437
L00031,0.0721038018421916,0.44354782351007516,130508.42030112205,9942
L00032,0.0037810789003843086,0.4012172317348568,218907.9776700496,4980
L00033,0.09447892499745467,0.542779355074744,19731.852384056107,12877
L00034,0.027632179722902103,0.48787065447977607,60836.128746929586,7032
L00035,0.09085106352712688,0.30560227489380526,148480.62676830165,13004
L00036,0.05167778658728348,0.41202569957709734,100345.88931138022,19019
L00037,0.05041901959170851,0.5956224902945372,55703.893862499244,13523
L00038,0.0456107032009771,0.48007330333141074,223364.22318673463,4398
L00039,0.09232031162306374,0.6727531180502199,53959.8556840498,11340
L00040,0.021602690456915263,0.5523666366892592,213845.42124466266,14925
L00041,0.061552872041309735,0.3911138851906383,8467.32784281198,11612
L00042,0.03246037913505129,0.5842064063979803,188721.81163935587,10143
L00043,0.09160862334297096,0.36531413837037263,171419.53532968627,6964
L00044,0.017764713802317554,0.22791352610057516,127362.22731103242,6593
L00045,0.06794278747010053,0.47782550744766594,241484.0278813121,15247
L00046,0.042754085468592044,0.3123367116261846,126715.29042356307,6478
L00047,0.06646106370539617,0.1149175801694383,80031.55548817466,2415
