LoanID,missing_PD,missing_LGD,missing_EAD,negative_saldo,negative_importe_aprobado,inconsistent_provision,missing_centro_costo,any_quality_issue
L00001,False,False,False,False,False,False,False,False
L00002,False,False,False,False,False,False,False,False
L00003,False,False,False,False,False,False,False,False
L00004,False,False,False,False,False,False,False,False
L00005,False,False,False,False,False,False,False,False
L00006,False,False,False,False,False,False,False,False
L00007,False,False,False,False,False,False,False,False
L00008,False,False,False,False,False,False,False,False
L00009,False,False,False,False,False,False,False,False
L00010,False,False,False,False,False,False,False,False
L00011,False,False,False,False,False,False,False,False
L00012,False,False,False,False,False,False,False,False
L00013,False,False,False,False,False,False,False,False
L00014,False,False,False,False,False,False,False,False
L00015,False,False,False,False,False,False,False,False
L00016,False,False,False,False,False,False,False,False
L00017,False,False,False,False,False,False,False,False
L00018,False,False,False,False,False,False,False,False
L00019,False,False,False,False,False,False,False,False
L00020,False,False,False,False,False,False,False,False
L00021,False,False,False,False,False,False,False,False
L00022,False,False,False,False,False,False,False,False
L00023,False,False,False,False,False,False,False,False
L00024,False,False,False,False,False,False,False,False
L00025,False,False,False,False,False,False,False,False
L00026,False,False,False,False,False,False,False,False
L00027,False,False,False,False,False,False,False,False
L00028,False,False,False,False,False,False,False,False
L00029,False,False,False,False,False,False,False,False
L00030,False,False,False,False,False,False,False,False
L00031,False,False,False,False,False,False,False,False
L00032,False,False,False,False,False,False,False,False
L00033,False,False,False,False,False,False,False,False
L00034,False,False,False,False,False,False,False,False
L00035,False,False,False,False,False,False,False,False
L00036,False,False,False,False,False,False,False,False
L00037,False,False,False,False,False,False,False,False
L00038,False,False,False,False,False,False,False,False
L00039,False,False,False,False,False,False,False,False
L00040,False,False,False,False,False,False,False,False
L00041,False,False,False,False,False,False,False,False
L00042,False,False,False,False,False,False,False,False
L00043,False,False,False,False,False,False,False,False
L00044,False,False,False,False,False,False,False,False
L00045,False,False,False,False,False,False,False,False
L00046,False,False,False,False,False,False,False,False
L00047,False,False,False,False,False,False,False,False
L00048,False,False,False,False,False,False,False,False
L00049,False,False,False,False,False,False,False,False
L00050,False,False,False,False,False,False,False,False
L00051,False,False,False,False,False,False,False,False
L00052,False,False,False,False,False,False,False,False
L00053,False,False,False,False,False,False,False,False
L00054,False,False,False,False,False,False,False,False
L00055,False,False,False,False,False,False,False,False
L00056,False,False,False,False,False,False,False,False
L00057,False,False,False,False,False,False,False,False
L00058,False,False,False,False,False,False,False,False
L00059,False,False,False,False,False,False,False,False
L00060,False,False,False,False,False,False,False,False
L00061,False,False,False,False,False,False,False,False
L00062,False,False,False,False,False,False,False,False
L00063,False,False,False,False,False,False,False,False
L00064,False,False,False,False,False,False,False,False
L00065,False,False,False,False,False,False,False,False
L00066,False,False,False,False,False,False,False,False
L00067,False,False,False,False,False,False,False,False
L00068,False,False,False,False,False,False,False,False
L00069,False,False,False,False,False,False,False,False
L00070,False,False,False,False,False,False,False,False
L00071,False,False,False,False,False,False,False,False
L00072,False,False,False,False,False,False,False,False
L00073,False,False,False,False,False,False,False,False
L00074,False,False,False,False,False,False,False,False
L00075,False,False,False,False,False,False,False,False
L00076,False,False,False,False,False,False,False,False
L00077,False,False,False,False,False,False,False,False
L00078,False,False,False,False,False,False,False,False
L00079,False,False,False,False,False,False,False,False
L00080,False,False,False,False,False,False,False,False
L00081,False,False,False,False,False,False,False,False
L00082,False,False,False,False,False,False,False,False
L00083,False,False,False,False,False,False,False,False
L00084,False,False,False,False,False,False,False,False
L00085,False,False,False,False,False,False,False,False
L00086,False,False,False,False,False,False,False,False
L00087,False,False,False,False,False,False,False,False
L00088,False,False,False,False,False,False,False,False
L00089,False,False,False,False,False,False,False,False
L00090,False,False,False,False,False,False,False,False
L00091,False,False,False,False,False,False,False,False
L00092,False,False,False,False,False,False,False,False
L00093,False,False,False,False,False,False,False,False
L00094,False,False,False,False,False,False,False,False
L00095,False,False,False,False,False,False,False,False
L00096,False,False,False,False,False,False,False,False
L00097,False,False,False,False,False,False,False,False
L00098,False,False,False,False,False,False,False,False
L00099,False,False,False,False,False,False,False,False
L00100,False,False,False,False,False,False,False,False
L00101,False,False,False,False,False,False,False,False
L00102,False,False,False,False,False,False,False,False
L00103,False,False,False,False,False,False,False,False
L00104,False,False,False,False,False,False,False,False
L00105,False,False,False,False,False,False,False,False
L00106,False,False,False,False,False,False,False,False
L00107,False,False,False,False,False,False,False,False
L00108,False,False,False,False,False,False,False,False
L00109,False,False,False,False,False,False,False,False
L00110,False,False,False,False,False,False,False,False
L00111,False,False,False,False,False,False,False,False
L00112,False,False,False,False,False,False,False,False
L00113,False,False,False,False,False,False,False,False
L00114,False,False,False,False,False,False,False,False
L00115,False,False,False,False,False,False,False,False
L00116,False,False,False,False,False,False,False,False
L00117,False,False,False,False,False,False,False,False
L00118,False,False,False,False,False,False,False,False
L00119,False,False,False,False,False,False,False,False
L00120,False,False,False,False,False,False,False,False
L00121,False,False,False,False,False,False,False,False
L00122,False,False,False,False,False,False,False,False
L00123,False,False,False,False,False,False,False,False
L00124,False,False,False,False,False,False,False,False
L00125,False,False,False,False,False,False,False,False
L00126,False,False,False,False,False,False,False,False
L00127,False,False,False,False,False,False,False,False
L00128,False,False,False,False,False,False,False,False
L00129,False,False,False,False,False,False,False,False
L00130,False,False,False,False,False,False,False,False
L00131,False,False,False,False,False,False,False,False
L00132,False,False,False,False,False,False,False,False
L00133,False,False,False,False,False,False,False,False
L00134,False,False,False,False,False,False,False,False
L00135,False,False,False,False,False,False,False,False
L00136,False,False,False,False,False,False,False,False
L00137,False,False,False,False,False,False,False,False
L00138,False,False,False,False,False,False,False,False
L00139,False,False,False,False,False,False,False,False
L00140,False,False,False,False,False,False,False,False
L00141,False,False,False,False,False,False,False,False
L00142,False,False,False,False,False,False,False,False
L00143,False,False,False,False,False,False,False,False
L00144,False,False,False,False,False,False,False,False
L00145,False,False,False,False,False,False,False,False
L00146,False,False,False,False,False,False,False,False
L00147,False,False,False,False,False,False,False,False
L00148,False,False,False,False,False,False,False,False
L00149,False,False,False,False,False,False,False,False
L00150,False,False,False,False,False,False,False,False
